protocol_id,protocol_name,core_eligible,core_universe_status,terminal_risk,stage2_terminal_mode_prob,composite_terminal_prob,composite_watch_band,decay_mode,evidence_level,evidence_summary,address_registry_status,candidate_address,candidate_source,adapter_address,adapter_role,adapter_evidence_status,adapter_source_type,adapter_source_note,validation_status,current_avax_core_tvl,current_total_core_tvl,current_avax_share,migrated_candidate,reason_1,reason_2,reason_3
0.exchange,0.exchange,1,core_eligible,0.4653392542789323,0.0605928714721939,0.0281962416254899,monitor,native_revival_or_threshold_boundary,methodology_backed,"Source payload contains a dedicated Avalanche token, token-in-USD and TVL history series, even though the legacy candidate address does not map to Avalanche code.",mapped_no_code,0xf0939011a9bb95c3b791f0cb546377ed2693a574,address_field_bare,,,,payload_chain_specific,"Source payload contains a dedicated Avalanche token, token-in-USD and TVL history series, even though the legacy candidate address does not map to Avalanche code.",no_code_on_avax,22838.64698,36646.07817,0.6232221323671319,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
0x-nodes,0x NODES,1,core_eligible,0.7245903378869298,0.9972000236322816,0.7225615020645694,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
2pi-network,2Pi Network,1,core_eligible,0.9908881274077128,0.9996838323353292,0.9905748406225204,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,2390.64543,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
40-acres,40 Acres,1,core_eligible,0.2972767801630485,0.0979897034794545,0.0291300635395041,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,4085729.22062,22868040.79928,0.1786654683924055,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
88mph,88mph,1,core_eligible,0.9775237537481172,0.7453272770537338,0.7285751176364289,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,50.66036,392993.28274,0.000128908971794,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
aave-v2,Aave V2,1,core_eligible,0.0841628136651812,0.0047705857394223,0.0004015059186607,monitor,native_revival_or_threshold_boundary,methodology_backed,Adapter exposes an explicit avax v2 registry and computes TVL/borrowed balances through Aave reserve aggregation helpers.,missing_address,,,,,,adapter_onchain_aggregate,Adapter exposes an explicit avax v2 registry and computes TVL/borrowed balances through Aave reserve aggregation helpers.,,12200655.01153,134104835.11063,0.0909784871027584,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
aave-v3,Aave V3,1,core_eligible,0.0563361282462348,0.0746731193278949,0.0042067944270026,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,414557627.26325,26005179017.835552,0.0159413487205347,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
abacus,Abacus,1,core_eligible,0.5107060920441839,0.8754682993370427,0.4471069938629889,elevated,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,18083.85665,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
aboard-exchange,Aboard Exchange,1,core_eligible,0.2156657285122485,0.9129515484666813,0.1968923607964521,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,7.23957,121.41401,0.0596271385814536,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
abracadabra-spell,Abracadabra Spell,1,core_eligible,0.128541763191283,0.052678392784072,0.0067713734905475,monitor,native_revival_or_threshold_boundary,methodology_backed,Adapter includes Avalanche BentoBox addresses and sums locked market balances directly from on-chain balanceOf calls.,missing_address,,,,,,adapter_onchain_aggregate,Adapter includes Avalanche BentoBox addresses and sums locked market balances directly from on-chain balanceOf calls.,,47001.45142,10809285.53659,0.0043482477413421,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
acryptos,ACryptoS,1,core_eligible,0.0343847997032381,0.09023440803984,0.0031026920467901,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,116206.81467,10564370.49877,0.010999880653895,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
agarthadao,AgarthaDAO,1,core_eligible,0.9830448112324338,1.0,0.9830448112324338,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
ajna-v2,Ajna V2,1,core_eligible,0.5608176756260121,0.128797797059544,0.0722320811726843,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,109.25109,566934.95327,0.0001927048056745,1,early drawdown stayed high,active-day density stayed low,peak arrived too early
alligator,Alligator,1,core_eligible,0.9086590861819176,0.9763268323701754,0.8871482473163697,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,6834.32627,6834.32627,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
amogus-dao,Amogus DAO,1,core_eligible,0.993800279985236,0.9982522893772892,0.992063404679053,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,44.52094,44.52094,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
anchor,Anchor,1,core_eligible,0.7898356210739119,0.998118753417168,0.7883497455107675,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
angle,Angle,1,core_eligible,0.879035872315514,0.2598347454485123,0.2284040621232125,monitor,multichain_relocation,methodology_backed,Adapter uses on-chain balance aggregation via sumTokens2 across protocol-managed contracts.,mapped_no_code,0x31429d1856aD1377A8A0079410B297e1a9e214c2,address_field_bare,,,,adapter_onchain_aggregate,Adapter uses on-chain balance aggregation via sumTokens2 across protocol-managed contracts.,no_code_on_avax,97.36295,4513471.51062,2.1571632782196424e-05,1,early drawdown stayed high,active-day density stayed low,peak arrived too early
ankr,Ankr,1,core_eligible,0.219100075191727,0.0848863423026783,0.0185986039812674,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,125023.93651,21392872.00126,0.0058441866292023,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
ante-finance,Ante Finance,1,core_eligible,0.5212551927733013,0.0868130914233503,0.0452517747051246,monitor,multichain_relocation,methodology_backed,Adapter aggregates pool token balances directly on-chain.,missing_address,,none_found,,,,adapter_onchain_aggregate,Adapter aggregates pool token balances directly on-chain.,address_unavailable,5185.32134,407423.22209,0.012727112886203,1,early drawdown stayed high,active-day density stayed low,peak arrived too early
antfarm-finance,Antfarm finance,1,core_eligible,0.1761064003040658,0.0618001537317395,0.0108834026119345,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,20585.32287,450808.53594,0.0456631168863665,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
antimatter,Antimatter,1,core_eligible,0.7607738450837247,0.8855231056881679,0.6736828180248691,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,5830.56877,12187.61149,0.4784012663009493,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
